market_id,condition_id,question,slug,start_date,end_date,volume,liquidity,category_raw,broad_category,outcomes,final_yes_price,resolved_yes,outcome_binary,resolution,num_outcomes,clob_token_ids,duration_hours,duration_days
248453,0x13552753ca8e962d523731b854c945a3cd32a643d5934cb84878fabaedf7aaad,"Will Binance.com become insolvent by Feb 28, 2023?",will-binancecom-become-insolvent-by-feb-28-2023,2023-01-24 21:09:31.483000+00:00,2023-02-28 00:00:00+00:00,269.40740400000004,2547.135,unknown,other,"['Yes', 'No']",0.0,False,0.0,,2,"[""30293991442705676108737287254335206825847640310997961034588100818706927116283"", ""47286473615506599805833375892680648451827335060446094362579577610634282269759""]",818.8412547222222,34.11838561342592
248480,0x1e28e73363c1a45a7ea8f4fffeacb82f315afa1a401d344a1b87627296ce28ef,Will Lori Lightfoot win the 2023 Chicago Mayoral Election?,will-lori-lightfoot-win-the-2023-chicago-mayoral-election,2023-03-06 23:27:47.708000+00:00,2023-03-01 00:00:00+00:00,7749.874325,118.508642,lori lightfoot,politics,"['Yes', 'No']",0.0,False,0.0,,2,"[""65802362820020567329932154906104722382903008851403603648660735230391455112176"", ""98367414598724826729591562519283226336531934089688901170113968404509428380071""]",-143.46325222222222,-5.977635509259259
248481,0xb4ca5ab11a401f621052b4ee098202a24650895a9e60d5fd7b4151e9b94bbe09,Will Paul Vallas win the 2023 Chicago Mayoral Election?,will-paul-vallas-win-the-2023-chicago-mayoral-election,2023-03-06 23:27:47.708000+00:00,2023-03-01 00:00:00+00:00,28043.266803,186.236977,paul vallas,politics,"['Yes', 'No']",0.0,False,0.0,,2,"[""62539255451654940140508513770103528332137371714700471455610181738416474091864"", ""91402031923073007849514077600169452150826728740783631299642974578170004667050""]",-143.46325222222222,-5.977635509259259
248482,0xbff3167f6d65855bcda209b3f3f84c90a626fd0dede7c333596ad372fa1a71b6,"Will Jesus ""Chuy"" Garcia win the 2023 Chicago Mayoral Election?",will-jesus-chuy-garcia-win-the-2023-chicago-mayoral-election,2023-03-06 23:27:47.839000+00:00,2023-03-01 00:00:00+00:00,3315.565123,104.347575,"jesus ""chuy"" garcia",politics,"['Yes', 'No']",0.0,False,0.0,,2,"[""30073933990617983573418239719979143638996660829400527274570399147783731421699"", ""105885270521502700377948361987529347168258634139916478389227556594130177248624""]",-143.4632886111111,-5.977637025462962
248484,0xc0e4863d7210ca63374ffe3305502d4d21c32a53fa33961c67bcb53d63e1cc79,Will US inflation be more than 0.2% from December 2022 to January 2023?,will-us-inflation-be-more-than-0pt2-from-december-2022-to-january-2023,2023-01-27 18:30:04.095000+00:00,2023-02-14 00:00:00+00:00,186.852139,25.005017,more than 0.2%,sports,"['Yes', 'No']",0.9999984019367131,,,,2,"[""80368669991527076972511430896954203683742063557117012671569245342959645279566"", ""77243597578430332171954681404881348717953624438987000366439421768573846235026""]",413.49886250000003,17.229119270833333
248485,0x62183cd6b474de53be4c710b53703d00969dda05f73fadf8f19d5569be2a0a7c,Will US inflation be more than 0.3% from December 2022 to January 2023?,will-us-inflation-be-more-than-0pt3-from-december-2022-to-january-2023,2023-01-27 18:38:54.455000+00:00,2023-02-14 00:00:00+00:00,399.675366,25.000005,more than 0.3%,sports,"['Yes', 'No']",0.9999995685090192,,,,2,"[""31071372880059768717734430452508859060100599609849918960770304754836720327"", ""52685397757027277567890111452027989437217081374868612669329614215155091076521""]",413.35154027777776,17.222980844907408
248486,0x4276d9db726fc5cd4e301087130b2d5b788d69eefaab55dd9bdb74028432ba6f,Will US inflation be more than 0.4% from December 2022 to January 2023?,will-us-inflation-be-more-than-0pt4-from-december-2022-to-january-2023,2023-01-27 18:38:54.465000+00:00,2023-02-14 00:00:00+00:00,16833.777602000002,25.005022,more than 0.4%,sports,"['Yes', 'No']",0.9999988504214713,,,,2,"[""26277764470810345299003231733401105721055084599268283615195275932247963254036"", ""89490644244792538802475544410657374413762042703380950905548250070573965676201""]",413.35153749999995,17.222980729166665
248487,0xc043d8c9e91791315f50f9925dc8c67230fd7f33cfc8897dc8542663f29d468d,Will US inflation be more than 0.5% from December 2022 to January 2023?,will-us-inflation-be-more-than-0pt5-from-december-2022-to-january-2023,2023-01-27 18:38:54.513000+00:00,2023-02-14 00:00:00+00:00,248.91945199999998,25.010015,more than 0.5%,sports,"['Yes', 'No']",1.5982333190156033e-06,,,,2,"[""25951094381952728711245834652470401063076059936267282468795304187467248874749"", ""15707425741879216613559337102526088493322325966370781168672263898166668513282""]",413.35152416666665,17.22298017361111
248488,0x0e2e0daf4bd99e12d1ef7f4b5409e50aa1111e006a6a2b538ea3b31287f46759,Will George Santos remain in Congress through March 31?,will-george-santos-remain-in-congress-through-march-31,2023-01-27 19:28:12.615000+00:00,2023-03-31 00:00:00+00:00,7181.667565,25.005009,unknown,politics,"['Yes', 'No']",1.0,True,1.0,,2,"[""28751449130778274410846639334728311085824681864411079618339288081485173284401"", ""108087534395094289789949925013940931237669025025876936250100064112132183733961""]",1492.5298291666666,62.18874288194444
248489,0x590169f12fbb2c00b4735c1aab4f406cc635ac7139dc739372f47ffc7004ea66,2023 Australian Open Final: Djokovic vs. Tsitsipas,2023-australian-open-final-djokovic-vs-tsitsipas,2023-01-27 20:05:59.277000+00:00,2023-01-29 00:00:00+00:00,29540.497943999995,18.750009,unknown,other,"['Djokovic', 'Tsitsipas']",0.9999989631893517,,,,2,"[""80290798465146696141993589845468584666432906960794900220166403416725326680712"", ""53445076100293495453007168391207872312770078774330294889333250128671803573423""]",27.900200833333333,1.1625083680555555
